date,actual,gru_baseline_42,lstm_baseline_42,tcn_baseline_42,transformer_baseline_42,gru_baseline_73,lstm_baseline_73,tcn_baseline_73,transformer_baseline_73,gru_baseline_1234,lstm_baseline_1234,tcn_baseline_1234,transformer_baseline_1234,gru_baseline_31415,lstm_baseline_31415,tcn_baseline_31415,transformer_baseline_31415,gru_baseline_271828183,lstm_baseline_271828183,tcn_baseline_271828183,transformer_baseline_271828183,gru_rs_42,lstm_rs_42,tcn_rs_42,transformer_rs_42,gru_rs_73,lstm_rs_73,tcn_rs_73,transformer_rs_73,gru_rs_1234,lstm_rs_1234,tcn_rs_1234,transformer_rs_1234,gru_rs_31415,lstm_rs_31415,tcn_rs_31415,transformer_rs_31415,gru_rs_271828183,lstm_rs_271828183,tcn_rs_271828183,transformer_rs_271828183,gru_optuna_42,lstm_optuna_42,tcn_optuna_42,transformer_optuna_42,gru_optuna_73,lstm_optuna_73,tcn_optuna_73,transformer_optuna_73,gru_optuna_1234,lstm_optuna_1234,tcn_optuna_1234,transformer_optuna_1234,gru_optuna_31415,lstm_optuna_31415,tcn_optuna_31415,transformer_optuna_31415,gru_optuna_271828183,lstm_optuna_271828183,tcn_optuna_271828183,transformer_optuna_271828183
5/3/2023,6812.722168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/2023,6844.026855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2023,6787.630859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2023,6787.630859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2023,6787.630859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2023,6769.630859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2023,6779.97998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2023,6811.904785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2023,6755.937988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2023,6707.763184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2023,6707.763184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2023,6707.763184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2023,6711.740234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2023,6676.563965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2023,6663.11377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/2023,6663.11377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2023,6700.561035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2023,6700.561035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2023,6700.561035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2023,6729.646973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/23/2023,6736.684082,6675.4434,6673.9507,6695.715,6643.4614,6700.6006,6588.519,6703.5527,6741.7197,6684.0933,6685.407,6690.8516,6804.084,6713.426,6560.4233,6645.9478,6688.37,6644.9097,6703.305,6746.3027,6712.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2023,6745.804199,6682.454,6666.8306,6696.107,6633.156,6706.586,6589.7773,6710.406,6743.926,6692.778,6695.4517,6696.7646,6804.441,6719.5576,6554.3965,6644.248,6682.997,6642.5356,6707.948,6752.3955,6721.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2023,6704.230957,6686.174,6650.831,6699.454,6626.714,6703.225,6589.9395,6711.8267,6751.2495,6700.1733,6703.0586,6696.3027,6804.571,6715.0737,6546.1035,6627.505,6680.7065,6647.1567,6712.617,6751.385,6721.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2023,6687.000977,6663.675,6633.6,6661.022,6590.974,6677.758,6580.966,6675.643,6721.3735,6688.1123,6681.575,6657.939,6774.211,6695.308,6533.0415,6618.3535,6653.8696,6644.357,6703.0366,6711.9375,6683.1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2023,6687.000977,6652.6367,6627.178,6654.079,6585.0645,6672.0137,6576.9053,6668.6245,6706.711,6678.545,6664.722,6653.52,6764.9556,6690.5874,6530.004,6607.913,6648.811,6643.1494,6693.975,6707.092,6673.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
